#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.166288879          45               450              194910
    0.200       -3.173016202          90               900              389820
    0.300       -3.177564095         135              1350              584730
    0.400       -3.180739266         180              1800              779640
    0.500       -3.183023809         225              2250              974550
    0.600       -3.184713429         270              2700             1169460
    0.700       -3.185994517         315              3150             1364370
    0.800       -3.186987789         360              3600             1559280
    0.900       -3.187773492         405              4050             1754190
    1.000       -3.188406282         450              4500             1949100
    1.100       -3.188924222         495              4950             2144010
    1.200       -3.189354365         540              5400             2338920
    1.300       -3.189716287         585              5850             2533830
    1.400       -3.190024397         630              6300             2728740
    1.500       -3.190289456         675              6750             2923650
    1.600       -3.190519618         720              7200             3118560
    1.700       -3.190721142         765              7650             3313470
    1.800       -3.190898892         810              8100             3508380
    1.900       -3.191056692         855              8550             3703290
    2.000       -3.191197584         900              9000             3898200
    2.100       -3.191324015         945              9450             4093110
    2.200       -3.191437973         990              9900             4288020
    2.300       -3.191541089        1035             10350             4482930
    2.400       -3.191634716        1080             10800             4677840
    2.500       -3.191719985        1125             11250             4872750
    2.600       -3.191797852        1170             11700             5067660
    2.700       -3.191869128        1215             12150             5262570
    2.800       -3.191934512        1260             12600             5457480
    2.900       -3.191994604        1305             13050             5652390
    3.000       -3.192049927        1350             13500             5847300
    3.100       -3.192100940        1395             13950             6042210
    3.200       -3.192148044        1440             14400             6237120
    3.300       -3.192191595        1485             14850             6432030
    3.400       -3.192231910        1530             15300             6626940
    3.500       -3.192269269        1575             15750             6821850
    3.600       -3.192303925        1620             16200             7016760
    3.700       -3.192336105        1665             16650             7211670
    3.800       -3.192366012        1710             17100             7406580
    3.900       -3.192393831        1755             17550             7601490
    4.000       -3.192419729        1800             18000             7796400
    4.100       -3.192443858        1845             18450             7991310
    4.200       -3.192466355        1890             18900             8186220
    4.300       -3.192487347        1935             19350             8381130
    4.400       -3.192506948        1980             19800             8576040
    4.500       -3.192525264        2025             20250             8770950
    4.600       -3.192542391        2070             20700             8965860
    4.700       -3.192558416        2115             21150             9160770
    4.800       -3.192573422        2160             21600             9355680
    4.900       -3.192587483        2205             22050             9550590
    5.000       -3.192600667        2250             22500             9745500
    5.100       -3.192613038        2295             22950             9940410
    5.200       -3.192624654        2340             23400            10135320
    5.300       -3.192635569        2385             23850            10330230
    5.400       -3.192645833        2430             24300            10525140
    5.500       -3.192655492        2475             24750            10720050
    5.600       -3.192664588        2520             25200            10914960
    5.700       -3.192673161        2565             25650            11109870
    5.800       -3.192681247        2610             26100            11304780
    5.900       -3.192688880        2655             26550            11499690
    6.000       -3.192696091        2700             27000            11694600
    6.100       -3.192702911        2745             27450            11889510
    6.200       -3.192709364        2790             27900            12084420
    6.300       -3.192715477        2835             28350            12279330
    6.400       -3.192721273        2880             28800            12474240
    6.500       -3.192726774        2925             29250            12669150
    6.600       -3.192731998        2970             29700            12864060
    6.700       -3.192736967        3015             30150            13058970
    6.800       -3.192741695        3060             30600            13253880
    6.900       -3.192746201        3105             31050            13448790
    7.000       -3.192750498        3150             31500            13643700
    7.100       -3.192754602        3195             31950            13838610
    7.200       -3.192758524        3240             32400            14033520
    7.300       -3.192762277        3285             32850            14228430
    7.400       -3.192765872        3330             33300            14423340
    7.500       -3.192769321        3375             33750            14618250
    7.600       -3.192772632        3420             34200            14813160
    7.700       -3.192775814        3465             34650            15008070
    7.800       -3.192778878        3510             35100            15202980
    7.900       -3.192781829        3555             35550            15397890
    8.000       -3.192784676        3600             36000            15592800
    8.100       -3.192787426        3645             36450            15787710
    8.200       -3.192790084        3690             36900            15982620
    8.300       -3.192792658        3735             37350            16177530
    8.400       -3.192795152        3780             37800            16372440
    8.500       -3.192797573        3825             38250            16567350
    8.600       -3.192799924        3870             38700            16762260
    8.700       -3.192802210        3915             39150            16957170
    8.800       -3.192804435        3960             39600            17152080
    8.900       -3.192806605        4005             40050            17346990
    9.000       -3.192808721        4050             40500            17541900
    9.100       -3.192810788        4095             40950            17736810
    9.200       -3.192812809        4140             41400            17931720
    9.300       -3.192814786        4185             41850            18126630
    9.400       -3.192816723        4230             42300            18321540
    9.500       -3.192818623        4275             42750            18516450
    9.600       -3.192820487        4320             43200            18711360
    9.700       -3.192822318        4365             43650            18906270
    9.800       -3.192824118        4410             44100            19101180
    9.900       -3.192825889        4455             44550            19296090
   10.000       -3.192827633        4500             45000            19491000
