#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.178589706          45               742              276494
    0.200       -3.195304241          90              9760              552988
    0.300       -3.207870651         136             20282              838011
    0.400       -3.217387062         181             32312             1114089
    0.500       -3.224702413         225             45812             1380838
    0.600       -3.230413186         269             60764             1648995
    0.700       -3.234918236         312             77120             1907215
    0.800       -3.238513674         354             94836             2157866
    0.900       -3.241418343         396            113918             2408549
    1.000       -3.243782156         437            134338             2649487
    1.100       -3.245721531         478            156076             2891513
    1.200       -3.247328190         518            179130             3150770
    1.300       -3.248665267         556            203430             3400457
    1.400       -3.249786763         592            228894             3617854
    1.500       -3.250730836         626            255464             3843505
    1.600       -3.251531768         657            283070             4069681
    1.700       -3.252211471         684            311598             4226989
    1.800       -3.252795247         709            340946             4371047
    1.900       -3.253296586         731            371032             4489198
    2.000       -3.253727821         750            401748             4599618
    2.100       -3.254101137         767            433026             4679444
    2.200       -3.254427111         783            464830             4762709
    2.300       -3.254707519         797            497090             4830356
    2.400       -3.254952373         810            529744             4901890
    2.500       -3.255168299         822            562768             4955999
    2.600       -3.255357439         833            596122             5004331
    2.700       -3.255526252         844            629790             5053175
    2.800       -3.255672349         854            663758             5100274
    2.900       -3.255800967         863            698008             5139612
    3.000       -3.255915563         872            732528             5181126
    3.100       -3.256015160         880            767294             5214815
    3.200       -3.256103170         887            802278             5245927
    3.300       -3.256181601         894            837454             5275887
    3.400       -3.256251470         901            872826             5305399
    3.500       -3.256314595         908            908398             5339455
    3.600       -3.256369354         914            944158             5365110
    3.700       -3.256416400         919            980064             5386204
    3.800       -3.256460966         925           1016110             5412019
    3.900       -3.256499390         930           1052314             5434521
    4.000       -3.256534136         935           1088662             5456127
    4.100       -3.256565797         940           1125154             5477989
    4.200       -3.256593190         945           1161768             5498587
    4.300       -3.256619218         950           1198490             5520705
