#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.178767752          51               834             1071078
    0.200       -3.195605257         102              1668             1402970
    0.300       -3.208213808         153              2502             1734862
    0.400       -3.217776923         204              3336             2066754
    0.500       -3.225122000         255              4170             2398646
    0.600       -3.230832220         306              5004             2730538
    0.700       -3.235322834         357              5838             3062430
    0.800       -3.238892805         408              6672             3394322
    0.900       -3.241759833         459              7506             3726214
    1.000       -3.244084227         510              8340             4058106
    1.100       -3.245985340         561              9174             4389998
    1.200       -3.247552970         612             10008             4721890
    1.300       -3.248855372         663             10842             5053782
    1.400       -3.249944936         714             11676             5385674
    1.500       -3.250862249         765             12510             5717566
    1.600       -3.251639041         816             13344             6049458
    1.700       -3.252300334         867             14178             6381350
    1.800       -3.252866021         918             15012             6713242
    1.900       -3.253352045         969             15846             7045134
    2.000       -3.253771284        1020             16680             7377026
    2.100       -3.254134212        1071             17514             7708918
    2.200       -3.254449410        1122             18348             8040810
    2.300       -3.254723954        1173             19182             8372702
    2.400       -3.254963717        1224             20016             8704594
    2.500       -3.255173598        1275             20850             9036486
    2.600       -3.255357714        1326             21684             9368378
    2.700       -3.255519535        1377             22518             9700270
    2.800       -3.255662006        1428             23352            10032162
    2.900       -3.255787633        1479             24186            10364054
    3.000       -3.255898562        1530             25020            10695946
    3.100       -3.255996635        1581             25854            11027838
    3.200       -3.256083439        1632             26688            11359730
    3.300       -3.256160347        1683             27522            11691622
    3.400       -3.256228549        1734             28356            12023514
    3.500       -3.256289081        1785             29190            12355406
    3.600       -3.256342844        1836             30024            12687298
    3.700       -3.256390629        1887             30858            13019190
    3.800       -3.256433126        1938             31692            13351082
    3.900       -3.256470940        1989             32526            13682974
    4.000       -3.256504605        2040             33360            14014866
    4.100       -3.256534590        2091             34194            14346758
    4.200       -3.256561308        2142             35028            14678650
    4.300       -3.256585124        2193             35862            15010542
    4.400       -3.256606360        2244             36696            15342434
    4.500       -3.256625303        2295             37530            15674326
