#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -3.156000929           0                 0                   0
    0.100       -3.178767690         870             12656            34683255
    0.200       -3.195606513        1740             25312            69366510
    0.300       -3.208219028        2610             37968           104049765
    0.400       -3.217788830        3480             50624           138733020
    0.500       -3.225142916        4350             63280           173416275
    0.600       -3.230863895        5220             75936           208099530
    0.700       -3.235366443        6090             88592           242782785
    0.800       -3.238949031        6960            101248           277466040
    0.900       -3.241828978        7830            113904           312149295
    1.000       -3.244166328        8700            126560           346832550
    1.100       -3.246080265        9570            139216           381515805
    1.200       -3.247660505       10440            151872           416199060
    1.300       -3.248975277       11310            164528           450882315
    1.400       -3.250076986       12180            177184           485565570
    1.500       -3.251006262       13050            189840           520248825
    1.600       -3.251794886       13920            202496           554932080
    1.700       -3.252467938       14790            215152           589615335
    1.800       -3.253045363       15660            227808           624298590
    1.900       -3.253543152       16530            240464           658981845
    2.000       -3.253974216       17400            253120           693665100
    2.100       -3.254349056       18270            265776           728348355
    2.200       -3.254676267       19140            278432           763031610
