#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000     -308.722714357           0             28496                   0
    0.100     -308.735576536         136             34296            12077888
    0.200     -308.746752238         272             40112            24155776
    0.300     -308.756464453         408             45896            36233664
    0.400     -308.764907690         544             51700            48311552
    0.500     -308.772257636         681             57548            60482632
    0.600     -308.778655770         818             63396            72653712
    0.700     -308.784236357         956             69276            84918048
    0.800     -308.789108376        1095             75200            97275704
    0.900     -308.793368957        1235             81148           109726744
    1.000     -308.797099894        1376             87196           122271232
    1.100     -308.800372944        1519             93300           135002808
    1.200     -308.803246580        1663             99472           147828024
    1.300     -308.805777399        1810            105780           160934544
    1.400     -308.808009102        1960            112148           174181944
    1.500     -308.809980699        2113            118644           187711512
    1.600     -308.811726799        2270            125272           201335288
    1.700     -308.813276427        2432            132120           215430944
    1.800     -308.814653513        2600            139316           231811592
    1.900     -308.815879701        2774            146784           250075904
    2.000     -308.816973509        2954            154532           270396128
    2.100     -308.817950951        3139            162552           294204952
    2.200     -308.818826147        3326            170656           322821192
    2.300     -308.819610976        3516            178992           350506352
    2.400     -308.820315361        3706            187236           379902976
    2.500     -308.820948415        3895            195408           410923432
    2.600     -308.821518790        4084            203576           443529928
    2.700     -308.822032473        4272            211704           475632402
    2.800     -308.822496088        4456            219664           506520788
    2.900     -308.822914906        4637            227432           538040998
    3.000     -308.823293918        4815            235160           570513456
    3.100     -308.823636522        4987            242472           602587496
    3.200     -308.823947574        5155            249752           631799210
    3.300     -308.824228826        5317            256840           662501090
    3.400     -308.824484636        5474            263632           691113850
    3.500     -308.824716790        5625            270108           719026668
    3.600     -308.824928975        5772            276456           744757284
    3.700     -308.825121722        5912            282388           769470284
    3.800     -308.825297269        6047            288080           795199364
    3.900     -308.825458104        6177            293840           819809764
    4.000     -308.825604178        6299            299044           840320124
    4.100     -308.825737702        6416            304164           860337324
    4.200     -308.825860239        6528            308852           880157324
    4.300     -308.825972223        6635            313448           899780380
    4.400     -308.826074797        6736            317744           919402668
    4.500     -308.826168581        6831            321800           934675028
    4.600     -308.826254558        6921            325428           948337460
    4.700     -308.826333538        7008            329160           963418508
    4.800     -308.826405811        7089            332424           976797716
    4.900     -308.826472799        7167            335688           991877612
    5.000     -308.826533888        7240            338748          1004226460
    5.100     -308.826589931        7309            341556          1013852716
    5.200     -308.826641463        7375            344308          1024855828
    5.300     -308.826688826        7437            346888          1034938668
    5.400     -308.826732909        7496            349380          1045848620
    5.500     -308.826773286        7552            351844          1056481780
    5.600     -308.826810303        7603            354004          1064472052
    5.700     -308.826844519        7652            356064          1071742644
