#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000     -308.722714357           0              3920                   0
    0.100     -308.735576526         136              9720            12077888
    0.200     -308.746752230         272             15536            24155776
    0.300     -308.756464446         408             21320            36233664
    0.400     -308.764907684         544             27124            48311552
    0.500     -308.772257633         681             32968            60482632
    0.600     -308.778655763         818             38820            72653712
    0.700     -308.784236350         956             44700            84918048
    0.800     -308.789108370        1095             50624            97275704
    0.900     -308.793365234        1234             56532           109633360
    1.000     -308.797093046        1374             62540           122084400
    1.100     -308.800363946        1516             68588           134722400
    1.200     -308.803238766        1660             74776           147547616
    1.300     -308.805770476        1807             81064           160654136
    1.400     -308.808001237        1956             87380           173807608
    1.500     -308.809973930        2109             93908           187337176
    1.600     -308.811719834        2266            100568           201102336
    1.700     -308.813269899        2428            107416           215197992
    1.800     -308.814647413        2596            114612           231578640
    1.900     -308.815873995        2770            122076           249842952
    2.000     -308.816968191        2950            129828           270163176
    2.100     -308.817945966        3135            137840           293972000
    2.200     -308.818821650        3322            145952           323212096
    2.300     -308.819606149        3511            154248           350871418
    2.400     -308.820310846        3701            162540           381052002
    2.500     -308.820944251        3890            170668           411363348
    2.600     -308.821514291        4078            178844           443386676
    2.700     -308.822028320        4265            186904           475621372
    2.800     -308.822491959        4448            194748           507115540
    2.900     -308.822910446        4628            202560           537662020
    3.000     -308.823289345        4804            210168           570479412
    3.100     -308.823632053        4975            217460           603163374
    3.200     -308.823942439        5141            224624           631699376
    3.300     -308.824223746        5302            231632           662769064
    3.400     -308.824479529        5457            238348           693365016
    3.500     -308.824711547        5606            244876           720221672
    3.600     -308.824923042        5749            250948           745239400
    3.700     -308.825115293        5886            256772           769648248
    3.800     -308.825290911        6018            262376           795071256
    3.900     -308.825450500        6143            267856           817668056
    4.000     -308.825596320        6262            272896           839366608
    4.100     -308.825729758        6376            277856           858207904
    4.200     -308.825851556        6483            282416           878568600
    4.300     -308.825962513        6584            286736           898928528
    4.400     -308.826063975        6678            290792           915973240
    4.500     -308.826156933        6767            294488           932536152
    4.600     -308.826242327        6851            298000           946622184
    4.700     -308.826320221        6930            301288           960802016
    4.800     -308.826391937        7004            304600           974368672
    4.900     -308.826457448        7073            307368           986624176
    5.000     -308.826517705        7138            310120           997673496
    5.100     -308.826573243        7200            312828          1010394704
    5.200     -308.826624113        7257            315208          1019336384
    5.300     -308.826671099        7311            317520          1028277680
    5.400     -308.826714411        7362            319600          1037491448
    5.500     -308.826754243        7409            321696          1046886928
    5.600     -308.826790883        7452            323520          1054561104
    5.700     -308.826824591        7492            325248          1061159984
    5.800     -308.826855538        7530            326728          1069193872
