#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000     -308.722714357           0                 0                   0
    0.100     -308.735670117         182              3872            31990080
    0.200     -308.746926231         364              7744            47415560
    0.300     -308.756704902         546             11616            62841040
    0.400     -308.765202473         728             15488            78266520
    0.500     -308.772591099         910             19360            93692000
    0.600     -308.779020824        1092             23232           109117480
    0.700     -308.784621825        1274             27104           124542960
    0.800     -308.789506667        1456             30976           139968440
    0.900     -308.793772451        1638             34848           155393920
    1.000     -308.797502805        1820             38720           170819400
    1.100     -308.800769688        2002             42592           186244880
    1.200     -308.803634989        2184             46464           201670360
    1.300     -308.806151935        2366             50336           217095840
    1.400     -308.808366323        2548             54208           232521320
    1.500     -308.810317576        2730             58080           247946800
    1.600     -308.812039661        2912             61952           263372280
    1.700     -308.813561870        3094             65824           278797760
    1.800     -308.814909493        3276             69696           294223240
    1.900     -308.816104393        3458             73568           309648720
    2.000     -308.817165490        3640             77440           325074200
    2.100     -308.818109186        3822             81312           340499680
    2.200     -308.818949712        4004             85184           355925160
    2.300     -308.819699441        4186             89056           371350640
    2.400     -308.820369140        4368             92928           386776120
    2.500     -308.820968194        4550             96800           402201600
    2.600     -308.821504798        4732            100672           417627080
    2.700     -308.821986113        4914            104544           433052560
    2.800     -308.822418411        5096            108416           448478040
    2.900     -308.822807190        5278            112288           463903520
    3.000     -308.823157277        5460            116160           479329000
    3.100     -308.823472918        5642            120032           494754480
    3.200     -308.823757849        5824            123904           510179960
    3.300     -308.824015367        6006            127776           525605440
    3.400     -308.824248382        6188            131648           541030920
    3.500     -308.824459466        6370            135520           556456400
    3.600     -308.824650898        6552            139392           571881880
    3.700     -308.824824698        6734            143264           587307360
    3.800     -308.824982657        6916            147136           602732840
    3.900     -308.825126371        7098            151008           618158320
    4.000     -308.825257257        7280            154880           633583800
    4.100     -308.825376580        7462            158752           649009280
    4.200     -308.825485467        7644            162624           664434760
    4.300     -308.825584925        7826            166496           679860240
    4.400     -308.825675855        8008            170368           695285720
    4.500     -308.825759065        8190            174240           710711200
    4.600     -308.825835278        8372            178112           726136680
    4.700     -308.825905143        8554            181984           741562160
    4.800     -308.825969242        8736            185856           756987640
    4.900     -308.826028101        8918            189728           772413120
    5.000     -308.826082191        9100            193600           787838600
    5.100     -308.826131940        9282            197472           803264080
    5.200     -308.826177730        9464            201344           818689560
    5.300     -308.826219909        9646            205216           834115040
    5.400     -308.826258791        9828            209088           849540520
    5.500     -308.826294659       10010            212960           864966000
    5.600     -308.826327771       10192            216832           880391480
    5.700     -308.826358359       10374            220704           895816960
    5.800     -308.826386637       10556            224576           911242440
    5.900     -308.826412795       10738            228448           926667920
    6.000     -308.826437009       10920            232320           942093400
    6.100     -308.826459438       11102            236192           957518880
    6.200     -308.826480226       11284            240064           972944360
    6.300     -308.826499506       11466            243936           988369840
    6.400     -308.826517398       11648            247808          1003795320
    6.500     -308.826534012       11830            251680          1019220800
    6.600     -308.826549448       12012            255552          1034646280
    6.700     -308.826563799       12194            259424          1050071760
    6.800     -308.826577148       12376            263296          1065497240
    6.900     -308.826589572       12558            267168          1080922720
    7.000     -308.826601142       12740            271040          1096348200
    7.100     -308.826611923       12922            274912          1111773680
    7.200     -308.826621974       13104            278784          1127199160
    7.300     -308.826631348       13286            282656          1142624640
    7.400     -308.826640097       13468            286528          1158050120
    7.500     -308.826648266       13650            290400          1173475600
    7.600     -308.826655898       13832            294272          1188901080
    7.700     -308.826663032       14014            298144          1204326560
    7.800     -308.826669703       14196            302016          1219752040
