#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -5.247617342           0             87056                   0
    0.500       -5.375069910         310            103712            67150960
    1.000       -5.397237506         889            134612           380890696
    1.500       -5.405185584        1416            163312           765232024
    2.000       -5.408943150        1798            183924          1016088560
    2.500       -5.410982536        2048            197104          1151090472
    3.000       -5.412214598        2267            208712          1272351528
    3.500       -5.412997766        2449            218144          1385934714
    4.000       -5.413521641        2611            226484          1488698532
    4.500       -5.413879967        2758            234112          1568577588
    5.000       -5.414132611        2899            241416          1637173260
    5.500       -5.414317861        3029            248084          1709210902
    6.000       -5.414454187        3148            254032          1785735718
    6.500       -5.414557236        3259            259576          1832014408
    7.000       -5.414633511        3356            264464          1868992106
    7.500       -5.414695405        3450            269212          1903036212
    8.000       -5.414741369        3536            273552          1943152950
    8.500       -5.414779502        3624            277968          1982407744
    9.000       -5.414808627        3701            281848          2018272042
    9.500       -5.414831807        3772            285496          2043952234
   10.000       -5.414848815        3840            289016          2073166618
   10.500       -5.414861871        3902            292104          2087526724
   11.000       -5.414874932        3968            295468          2108931556
   11.500       -5.414885325        4031            298700          2124770134
   12.000       -5.414894761        4094            301972          2143150312
   12.500       -5.414901450        4154            305156          2159147176
   13.000       -5.414906382        4212            308244          2175355280
   13.500       -5.414910552        4267            311176          2188871130
   14.000       -5.414913760        4321            314064          2201702466
   14.500       -5.414916896        4373            316936          2217745324
   15.000       -5.414919544        4421            319584          2231834308
   15.500       -5.414920493        4466            322004          2240885788
   16.000       -5.414921698        4513            324556          2253499996
   16.500       -5.414922801        4558            326992          2265062548
   17.000       -5.414923295        4603            329416          2273486260
   17.500       -5.414924028        4648            331900          2282537740
   18.000       -5.414924998        4692            334332          2291379772
   18.500       -5.414925304        4736            336736          2302732108
   19.000       -5.414925627        4779            339076          2310737372
   19.500       -5.414926168        4824            341500          2319788852
   20.000       -5.414926617        4868            343924          2328003308
   20.500       -5.414927231        4912            346320          2336217764
   21.000       -5.414927236        4955            348684          2344223028
   21.500       -5.414927238        4998            351048          2352228292
   22.000       -5.414927240        5041            353412          2360233556
   22.500       -5.414927240        5084            355776          2368238820
   23.000       -5.414927332        5128            358176          2376453276
   23.500       -5.414927566        5172            360572          2384510838
   24.000       -5.414928066        5216            362996          2392725294
   24.500       -5.414928070        5259            365360          2400730558
   25.000       -5.414928071        5302            367724          2408735822
   25.500       -5.414928071        5345            370088          2416741086
   26.000       -5.414928071        5388            372452          2424746350
   26.500       -5.414928071        5431            374816          2432751614
   27.000       -5.414928071        5474            377180          2440756878
   27.500       -5.414928071        5517            379544          2448762142
   28.000       -5.414928071        5560            381908          2456767406
   28.500       -5.414928071        5603            384272          2464772670
   29.000       -5.414928071        5646            386636          2472777934
   29.500       -5.414928071        5689            389000          2480783198
   30.000       -5.414928071        5732            391364          2488788462
