#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.029640396           0                 0                   0
    0.100       -4.061134652          70            131190             3220983
    0.200       -4.084177805         136            136184             6233738
    0.300       -4.101626076         195            140778             8894214
    0.400       -4.115041117         244            144710            11059576
    0.500       -4.125788018         287            147892            12951940
    0.600       -4.134426967         322            150646            14460296
    0.700       -4.141555433         351            152666            15714630
    0.800       -4.147481667         374            154466            16702622
    0.900       -4.152572668         393            155764            17519922
    1.000       -4.156885015         408            156768            18168386
    1.100       -4.160605880         420            157568            18690975
    1.200       -4.163863710         430            158158            19131898
    1.300       -4.166721689         438            158676            19492115
    1.400       -4.169224544         444            159108            19770186
    1.500       -4.171536206         450            159406            20048769
    1.600       -4.173602394         455            159698            20286631
    1.700       -4.175432888         459            159876            20484604
    1.800       -4.177121841         463            160026            20682577
    1.900       -4.178597625         466            160156            20840789
    2.000       -4.179952749         469            160246            20999001
    2.100       -4.181196681         472            160336            21157213
    2.200       -4.182338236         475            160426            21315425
    2.300       -4.183385604         478            160516            21473637
    2.400       -4.184346375         481            160606            21631849
    2.500       -4.185227578         484            160696            21790061
    2.600       -4.186035703         487            160786            21948273
    2.700       -4.186776741         490            160876            22106485
    2.800       -4.187456216         493            160966            22264697
    2.900       -4.188079211         496            161056            22422909
    3.000       -4.188650406         499            161146            22581121
    3.100       -4.189174100         502            161236            22739333
    3.200       -4.189654244         505            161326            22897545
    3.300       -4.190094466         508            161416            23055757
    3.400       -4.190498097         511            161506            23213969
    3.500       -4.190868189         514            161596            23372181
    3.600       -4.191207543         517            161686            23530393
    3.700       -4.191603160         521            161794            23728302
    3.800       -4.191972774         525            161942            23926211
    3.900       -4.192244865         528            162088            24084423
    4.000       -4.192501278         531            162218            24242635
    4.100       -4.192733008         534            162376            24401167
    4.200       -4.192961391         537            162600            24559763
    4.300       -4.193109443         539            162844            24678406
    4.400       -4.193183413         540            162988            24757416
    4.500       -4.193259794         541            163068            24836426
    4.600       -4.193336156         542            163164            24915436
    4.700       -4.193336156         542            163228            24954941
    4.800       -4.193336156         542            163228            24994446
