#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -5.275451852           0             60368                   0
    0.100       -5.311138561         174             69652            27312432
    0.200       -5.336439000         349             78996            54787432
    0.300       -5.354611018         522             88300            81937360
    0.400       -5.367931769         690             97164           108275728
    0.500       -5.377866793         851            105444           133480600
    0.600       -5.385426654        1005            113404           157555112
    0.700       -5.391252324        1151            120788           180341624
    0.800       -5.395814199        1289            127848           201844232
    0.900       -5.399426517        1419            134564           222067032
    1.000       -5.402304636        1537            140500           240377800
    1.100       -5.404619608        1643            145488           264446168
    1.200       -5.406511737        1740            150244           279433056
    1.300       -5.408054834        1825            154620           292533256
    1.400       -5.409329893        1901            158172           311792744
    1.500       -5.410385029        1967            161052           329462072
    1.600       -5.411276906        2027            163804           338661272
    1.700       -5.412025589        2082            166324           347085072
    1.800       -5.412666529        2135            168656           360808536
    1.900       -5.413212068        2184            170576           373904128
    2.000       -5.413682861        2229            172284           385435288
    2.100       -5.414084379        2271            174088           394632184
    2.200       -5.414427222        2309            175508           400431592
    2.300       -5.414726130        2345            177152           405923464
    2.400       -5.414985617        2379            178552           411108056
    2.500       -5.415214780        2412            180036           417060560
    2.600       -5.415410600        2442            181388           424399184
    2.700       -5.415578675        2469            182308           431737424
    2.800       -5.415722225        2494            183292           437381496
    2.900       -5.415848616        2517            184280           444564912
    3.000       -5.415943578        2535            185140           453293688
    3.100       -5.416019428        2549            185780           456333720
    3.200       -5.416078150        2560            186324           458002992
    3.300       -5.416125236        2569            186676           459824016
    3.400       -5.416164614        2577            186944           461037264
    3.500       -5.416198165        2584            187200           462098632
    3.600       -5.416229973        2591            187520           463160000
    3.700       -5.416252396        2596            187776           464372864
    3.800       -5.416270135        2600            188032           464978976
    3.900       -5.416283575        2603            188180           465433464
    4.000       -5.416292156        2605            188300           465736392
    4.100       -5.416300744        2607            188428           466039320
    4.200       -5.416305016        2608            188484           466190752
    4.300       -5.416309265        2609            188544           466342184
    4.400       -5.416313533        2610            188600           466493616
    4.500       -5.416313533        2610            188600           466493616
    4.600       -5.416313533        2610            188600           466493616
    4.700       -5.416313533        2610            188600           466493616
    4.800       -5.416313533        2610            188600           466493616
    4.900       -5.416313533        2610            188600           466493616
    5.000       -5.416313533        2610            188600           466493616
    5.100       -5.416313533        2610            188600           466493616
    5.200       -5.416313533        2610            188600           466493616
    5.300       -5.416313533        2610            188600           466493616
    5.400       -5.416313533        2610            188600           466493616
    5.500       -5.416313533        2610            188600           466493616
    5.600       -5.416313533        2610            188600           466493616
    5.700       -5.416313533        2610            188600           466493616
    5.800       -5.416313533        2610            188600           466493616
    5.900       -5.416313533        2610            188600           466493616
    6.000       -5.416313533        2610            188600           466493616
    6.100       -5.416313533        2610            188600           466493616
    6.200       -5.416313533        2610            188600           466493616
    6.300       -5.416313533        2610            188600           466493616
    6.400       -5.416313533        2610            188600           466493616
    6.500       -5.416313533        2610            188600           466493616
    6.600       -5.416313533        2610            188600           466493616
    6.700       -5.416313533        2610            188600           466493616
    6.800       -5.416313533        2610            188600           466493616
    6.900       -5.416313533        2610            188600           466493616
    7.000       -5.416313533        2610            188600           466493616
    7.100       -5.416313533        2610            188600           466493616
    7.200       -5.416313533        2610            188600           466493616
    7.300       -5.416313533        2610            188600           466493616
    7.400       -5.416313533        2610            188600           466493616
    7.500       -5.416313533        2610            188600           466493616
    7.600       -5.416313533        2610            188600           466493616
    7.700       -5.416313533        2610            188600           466493616
    7.800       -5.416313533        2610            188600           466493616
    7.900       -5.416313533        2610            188600           466493616
    8.000       -5.416313533        2610            188600           466493616
    8.100       -5.416313533        2610            188600           466493616
    8.200       -5.416313533        2610            188600           466493616
    8.300       -5.416313533        2610            188600           466493616
    8.400       -5.416313533        2610            188600           466493616
    8.500       -5.416313533        2610            188600           466493616
    8.600       -5.416313533        2610            188600           466493616
    8.700       -5.416313533        2610            188600           466493616
    8.800       -5.416313533        2610            188600           466493616
    8.900       -5.416313533        2610            188600           466493616
    9.000       -5.416313533        2610            188600           466493616
    9.100       -5.416313533        2610            188600           466493616
    9.200       -5.416313533        2610            188600           466493616
    9.300       -5.416313533        2610            188600           466493616
    9.400       -5.416313533        2610            188600           466493616
    9.500       -5.416313533        2610            188600           466493616
    9.600       -5.416313533        2610            188600           466493616
    9.700       -5.416313533        2610            188600           466493616
    9.800       -5.416313533        2610            188600           466493616
    9.900       -5.416313533        2610            188600           466493616
   10.000       -5.416313533        2610            188600           466493616
   10.100       -5.416313533        2610            188600           466493616
   10.200       -5.416313533        2610            188600           466493616
   10.300       -5.416313533        2610            188600           466493616
   10.400       -5.416313533        2610            188600           466493616
   10.500       -5.416313533        2610            188600           466493616
   10.600       -5.416313533        2610            188600           466493616
   10.700       -5.416313533        2610            188600           466493616
   10.800       -5.416313533        2610            188600           466493616
   10.900       -5.416313533        2610            188600           466493616
   11.000       -5.416313533        2610            188600           466493616
   11.100       -5.416313533        2610            188600           466493616
   11.200       -5.416313533        2610            188600           466493616
   11.300       -5.416313533        2610            188600           466493616
   11.400       -5.416313533        2610            188600           466493616
   11.500       -5.416313533        2610            188600           466493616
   11.600       -5.416313533        2610            188600           466493616
   11.700       -5.416313533        2610            188600           466493616
   11.800       -5.416313533        2610            188600           466493616
   11.900       -5.416313533        2610            188600           466493616
   12.000       -5.416313533        2610            188600           466493616
   12.100       -5.416313533        2610            188600           466493616
   12.200       -5.416313533        2610            188600           466493616
   12.300       -5.416313533        2610            188600           466493616
   12.400       -5.416313533        2610            188600           466493616
   12.500       -5.416313533        2610            188600           466493616
   12.600       -5.416313533        2610            188600           466493616
   12.700       -5.416313533        2610            188600           466493616
   12.800       -5.416313533        2610            188600           466493616
   12.900       -5.416313533        2610            188600           466493616
   13.000       -5.416313533        2610            188600           466493616
   13.100       -5.416313533        2610            188600           466493616
   13.200       -5.416313533        2610            188600           466493616
   13.300       -5.416313533        2610            188600           466493616
   13.400       -5.416313533        2610            188600           466493616
   13.500       -5.416313533        2610            188600           466493616
   13.600       -5.416313533        2610            188600           466493616
   13.700       -5.416313533        2610            188600           466493616
   13.800       -5.416313533        2610            188600           466493616
   13.900       -5.416313533        2610            188600           466493616
   14.000       -5.416313533        2610            188600           466493616
   14.100       -5.416313533        2610            188600           466493616
   14.200       -5.416313533        2610            188600           466493616
   14.300       -5.416313533        2610            188600           466493616
   14.400       -5.416313533        2610            188600           466493616
   14.500       -5.416313533        2610            188600           466493616
   14.600       -5.416313533        2610            188600           466493616
   14.700       -5.416313533        2610            188600           466493616
   14.800       -5.416313533        2610            188600           466493616
   14.900       -5.416313533        2610            188600           466493616
   15.000       -5.416313533        2610            188600           466493616
   15.100       -5.416313533        2610            188600           466493616
   15.200       -5.416313533        2610            188600           466493616
   15.300       -5.416313533        2610            188600           466493616
   15.400       -5.416313533        2610            188600           466493616
   15.500       -5.416313533        2610            188600           466493616
   15.600       -5.416313533        2610            188600           466493616
   15.700       -5.416313533        2610            188600           466493616
   15.800       -5.416313533        2610            188600           466493616
   15.900       -5.416313533        2610            188600           466493616
   16.000       -5.416313533        2610            188600           466493616
   16.100       -5.416313533        2610            188600           466493616
   16.200       -5.416313533        2610            188600           466493616
   16.300       -5.416313533        2610            188600           466493616
   16.400       -5.416313533        2610            188600           466493616
   16.500       -5.416313533        2610            188600           466493616
   16.600       -5.416313533        2610            188600           466493616
   16.700       -5.416313533        2610            188600           466493616
   16.800       -5.416313533        2610            188600           466493616
   16.900       -5.416313533        2610            188600           466493616
   17.000       -5.416313533        2610            188600           466493616
   17.100       -5.416313533        2610            188600           466493616
   17.200       -5.416313533        2610            188600           466493616
   17.300       -5.416313533        2610            188600           466493616
   17.400       -5.416313533        2610            188600           466493616
   17.500       -5.416313533        2610            188600           466493616
   17.600       -5.416313533        2610            188600           466493616
   17.700       -5.416313533        2610            188600           466493616
   17.800       -5.416313533        2610            188600           466493616
   17.900       -5.416313533        2610            188600           466493616
   18.000       -5.416313533        2610            188600           466493616
   18.100       -5.416313533        2610            188600           466493616
   18.200       -5.416313533        2610            188600           466493616
   18.300       -5.416313533        2610            188600           466493616
   18.400       -5.416313533        2610            188600           466493616
   18.500       -5.416313533        2610            188600           466493616
   18.600       -5.416313533        2610            188600           466493616
   18.700       -5.416313533        2610            188600           466493616
