#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -5.275451852           0                 0                   0
    0.100       -5.312992441         337              9254           149242800
    0.200       -5.339625281         674             18508           203898808
    0.300       -5.358722380        1011             27762           258554816
    0.400       -5.372587847        1348             37016           313210824
    0.500       -5.382790558        1685             46270           367866832
    0.600       -5.390401619        2022             55524           422522840
    0.700       -5.396157103        2359             64778           477178848
    0.800       -5.400567372        2696             74032           531834856
    0.900       -5.403989959        3033             83286           586490864
    1.000       -5.406678122        3370             92540           641146872
    1.100       -5.408813329        3707            101794           695802880
    1.200       -5.410527122        4044            111048           750458888
    1.300       -5.411915966        4381            120302           805114896
    1.400       -5.413051421        4718            129556           859770904
    1.500       -5.413987167        5055            138810           914426912
    1.600       -5.414763922        5392            148064           969082920
    1.700       -5.415412905        5729            157318          1023738928
    1.800       -5.415958298        6066            166572          1078394936
    1.900       -5.416419021        6403            175826          1133050944
    2.000       -5.416810023        6740            185080          1187706952
    2.100       -5.417143217        7077            194334          1242362960
    2.200       -5.417428183        7414            203588          1297018968
    2.300       -5.417672688        7751            212842          1351674976
    2.400       -5.417883072        8088            222096          1406330984
    2.500       -5.418064554        8425            231350          1460986992
    2.600       -5.418221450        8762            240604          1515643000
    2.700       -5.418357359        9099            249858          1570299008
    2.800       -5.418475291        9436            259112          1624955016
    2.900       -5.418577781        9773            268366          1679611024
    3.000       -5.418666973       10110            277620          1734267032
    3.100       -5.418744686       10447            286874          1788923040
    3.200       -5.418812468       10784            296128          1843579048
    3.300       -5.418871646       11121            305382          1898235056
    3.400       -5.418923354       11458            314636          1952891064
    3.500       -5.418968570       11795            323890          2007547072
    3.600       -5.419008136       12132            333144          2062203080
    3.700       -5.419042777       12469            342398          2116859088
    3.800       -5.419073124       12806            351652          2171515096
    3.900       -5.419099721       13143            360906          2226171104
    4.000       -5.419123042       13480            370160          2280827112
    4.100       -5.419143497       13817            379414          2335483120
    4.200       -5.419161446       14154            388668          2390139128
    4.300       -5.419177201       14491            397922          2444795136
    4.400       -5.419191033       14828            407176          2499451144
    4.500       -5.419203180       15165            416430          2554107152
    4.600       -5.419213850       15502            425684          2608763160
    4.700       -5.419223224       15839            434938          2663419168
    4.800       -5.419231461       16176            444192          2718075176
    4.900       -5.419238701       16513            453446          2772731184
    5.000       -5.419245065       16850            462700          2827387192
    5.100       -5.419250660       17187            471954          2882043200
    5.200       -5.419255580       17524            481208          2936699208
    5.300       -5.419259906       17861            490462          2991355216
    5.400       -5.419263710       18198            499716          3046011224
    5.500       -5.419267056       18535            508970          3100667232
    5.600       -5.419269999       18872            518224          3155323240
    5.700       -5.419272588       19209            527478          3209979248
    5.800       -5.419274866       19546            536732          3264635256
    5.900       -5.419276870       19883            545986          3319291264
    6.000       -5.419278633       20220            555240          3373947272
    6.100       -5.419280185       20557            564494          3428603280
    6.200       -5.419281550       20894            573748          3483259288
    6.300       -5.419282751       21231            583002          3537915296
    6.400       -5.419283808       21568            592256          3592571304
    6.500       -5.419284738       21905            601510          3647227312
    6.600       -5.419285557       22242            610764          3701883320
    6.700       -5.419286278       22579            620018          3756539328
    6.800       -5.419286912       22916            629272          3811195336
    6.900       -5.419287470       23253            638526          3865851344
    7.000       -5.419287962       23590            647780          3920507352
    7.100       -5.419288394       23927            657034          3975163360
    7.200       -5.419288775       24264            666288          4029819368
    7.300       -5.419289110       24601            675542          4084475376
    7.400       -5.419289405       24938            684796          4139131384
    7.500       -5.419289664       25275            694050          4193787392
    7.600       -5.419289893       25612            703304          4248443400
    7.700       -5.419290094       25949            712558          4303099408
    7.800       -5.419290271       26286            721812          4357755416
    7.900       -5.419290427       26623            731066          4412411424
    8.000       -5.419290564       26960            740320          4467067432
    8.100       -5.419290685       27297            749574          4521723440
    8.200       -5.419290792       27634            758828          4576379448
    8.300       -5.419290885       27971            768082          4631035456
    8.400       -5.419290968       28308            777336          4685691464
    8.500       -5.419291040       28645            786590          4740347472
    8.600       -5.419291104       28982            795844          4795003480
    8.700       -5.419291160       29319            805098          4849659488
    8.800       -5.419291210       29656            814352          4904315496
    8.900       -5.419291253       29993            823606          4958971504
    9.000       -5.419291292       30330            832860          5013627512
    9.100       -5.419291326       30667            842114          5068283520
    9.200       -5.419291355       31004            851368          5122939528
    9.300       -5.419291382       31341            860622          5177595536
    9.400       -5.419291405       31678            869876          5232251544
    9.500       -5.419291425       32015            879130          5286907552
    9.600       -5.419291443       32352            888384          5341563560
    9.700       -5.419291459       32689            897638          5396219568
    9.800       -5.419291472       33026            906892          5450875576
    9.900       -5.419291485       33363            916146          5505531584
   10.000       -5.419291495       33700            925400          5560187592
   10.100       -5.419291505       34037            934654          5614843600
   10.200       -5.419291513       34374            943908          5669499608
   10.300       -5.419291520       34711            953162          5724155616
   10.400       -5.419291527       35048            962416          5778811624
   10.500       -5.419291533       35385            971670          5833467632
   10.600       -5.419291538       35722            980924          5888123640
   10.700       -5.419291542       36059            990178          5942779648
   10.800       -5.419291546       36396            999432          5997435656
   10.900       -5.419291549       36733           1008686          6052091664
   11.000       -5.419291552       37070           1017940          6106747672
   11.100       -5.419291555       37407           1027194          6161403680
   11.200       -5.419291557       37744           1036448          6216059688
   11.300       -5.419291559       38081           1045702          6270715696
   11.400       -5.419291561       38418           1054956          6325371704
   11.500       -5.419291563       38755           1064210          6380027712
   11.600       -5.419291564       39092           1073464          6434683720
   11.700       -5.419291565       39429           1082718          6489339728
   11.800       -5.419291566       39766           1091972          6543995736
   11.900       -5.419291567       40103           1101226          6598651744
   12.000       -5.419291568       40440           1110480          6653307752
   12.100       -5.419291569       40777           1119734          6707963760
   12.200       -5.419291570       41114           1128988          6762619768
   12.300       -5.419291570       41451           1138242          6817275776
   12.400       -5.419291571       41788           1147496          6871931784
   12.500       -5.419291571       42125           1156750          6926587792
   12.600       -5.419291571       42462           1166004          6981243800
   12.700       -5.419291572       42799           1175258          7035899808
   12.800       -5.419291572       43136           1184512          7090555816
   12.900       -5.419291572       43473           1193766          7145211824
   13.000       -5.419291573       43810           1203020          7199867832
   13.100       -5.419291573       44147           1212274          7254523840
   13.200       -5.419291573       44484           1221528          7309179848
   13.300       -5.419291573       44821           1230782          7363835856
   13.400       -5.419291573       45158           1240036          7418491864
   13.500       -5.419291573       45495           1249290          7473147872
   13.600       -5.419291574       45832           1258544          7527803880
   13.700       -5.419291574       46169           1267798          7582459888
   13.800       -5.419291574       46506           1277052          7637115896
   13.900       -5.419291574       46843           1286306          7691771904
   14.000       -5.419291574       47180           1295560          7746427912
   14.100       -5.419291574       47517           1304814          7801083920
   14.200       -5.419291574       47854           1314068          7855739928
   14.300       -5.419291574       48191           1323322          7910395936
   14.400       -5.419291574       48528           1332576          7965051944
   14.500       -5.419291574       48865           1341830          8019707952
   14.600       -5.419291574       49202           1351084          8074363960
   14.700       -5.419291574       49539           1360338          8129019968
   14.800       -5.419291574       49876           1369592          8183675976
   14.900       -5.419291574       50213           1378846          8238331984
   15.000       -5.419291574       50550           1388100          8292987992
   15.100       -5.419291574       50887           1397354          8347644000
   15.200       -5.419291574       51224           1406608          8402300008
   15.300       -5.419291574       51561           1415862          8456956016
   15.400       -5.419291574       51898           1425116          8511612024
   15.500       -5.419291574       52235           1434370          8566268032
   15.600       -5.419291574       52572           1443624          8620924040
   15.700       -5.419291574       52909           1452878          8675580048
   15.800       -5.419291574       53246           1462132          8730236056
   15.900       -5.419291574       53583           1471386          8784892064
   16.000       -5.419291574       53920           1480640          8839548072
   16.100       -5.419291574       54257           1489894          8894204080
   16.200       -5.419291574       54594           1499148          8948860088
   16.300       -5.419291574       54931           1508402          9003516096
   16.400       -5.419291574       55268           1517656          9058172104
