#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.752278703           0                 0                   0
    0.500       -4.875815119         217              5804         17308522800
    1.000       -4.884160626         434             11608         17332837936
    1.500       -4.885654776         651             17412         17357153072
    2.000       -4.886055650         868             23216         17381468208
    2.500       -4.886190195        1085             29020         17405783344
    3.000       -4.886244330        1302             34824         17430098480
    3.500       -4.886270248        1519             40628         17454413616
    4.000       -4.886284895        1736             46432         17478728752
    4.500       -4.886294319        1953             52236         17503043888
    5.000       -4.886300964        2170             58040         17527359024
    5.500       -4.886305903        2387             63844         17551674160
    6.000       -4.886309698        2604             69648         17575989296
    6.500       -4.886312659        2821             75452         17600304432
    7.000       -4.886314997        3038             81256         17624619568
    7.500       -4.886316850        3255             87060         17648934704
    8.000       -4.886318324        3472             92864         17673249840
    8.500       -4.886319498        3689             98668         17697564976
    9.000       -4.886320434        3906            104472         17721880112
    9.500       -4.886321181        4123            110276         17746195248
   10.000       -4.886321778        4340            116080         17770510384
   10.500       -4.886322254        4557            121884         17794825520
   11.000       -4.886322634        4774            127688         17819140656
   11.500       -4.886322938        4991            133492         17843455792
   12.000       -4.886323180        5208            139296         17867770928
   12.500       -4.886323374        5425            145100         17892086064
   13.000       -4.886323528        5642            150904         17916401200
   13.500       -4.886323652        5859            156708         17940716336
   14.000       -4.886323750        6076            162512         17965031472
   14.500       -4.886323829        6293            168316         17989346608
   15.000       -4.886323892        6510            174120         18013661744
   15.500       -4.886323942        6727            179924         18037976880
   16.000       -4.886323982        6944            185728         18062292016
   16.500       -4.886324014        7161            191532         18086607152
   17.000       -4.886324040        7378            197336         18110922288
   17.500       -4.886324060        7595            203140         18135237424
   18.000       -4.886324077        7812            208944         18159552560
   18.500       -4.886324090        8029            214748         18183867696
   19.000       -4.886324100        8246            220552         18208182832
   19.500       -4.886324108        8463            226356         18232497968
   20.000       -4.886324115        8680            232160         18256813104
   20.500       -4.886324120        8897            237964         18281128240
   21.000       -4.886324124        9114            243768         18305443376
   21.500       -4.886324128        9331            249572         18329758512
   22.000       -4.886324131        9548            255376         18354073648
   22.500       -4.886324133        9765            261180         18378388784
   23.000       -4.886324134        9982            266984         18402703920
   23.500       -4.886324136       10199            272788         18427019056
   24.000       -4.886324137       10416            278592         18451334192
   24.500       -4.886324138       10633            284396         18475649328
   25.000       -4.886324138       10850            290200         18499964464
   25.500       -4.886324139       11067            296004         18524279600
   26.000       -4.886324139       11284            301808         18548594736
   26.500       -4.886324140       11500            307592         18572909872
   27.000       -4.886324140       11716            313376         18597194698
   27.500       -4.886324140       11931            319140         18621479524
   28.000       -4.886324141       12146            324904         18645734044
   28.500       -4.886324141       12361            330668         18669988564
   29.000       -4.886324141       12576            336432         18694243084
   29.500       -4.886324141       12791            342196         18718497604
   30.000       -4.886324141       13006            347960         18742752124
