#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.632485833           0                 0                   0
    0.500       -4.829684947         417             11270         19452193200
    1.000       -4.917271143         834             22540         19543949880
    1.500       -4.959209152        1251             33810         19635706560
    2.000       -4.981467528        1668             45080         19727463240
    2.500       -4.994373156        2085             56350         19819219920
    3.000       -5.002401638        2502             67620         19910976600
    3.500       -5.007677214        2919             78890         20002733280
    4.000       -5.011292325        3336             90160         20094489960
    4.500       -5.013849549        3753            101430         20186246640
    5.000       -5.015702276        4170            112700         20278003320
    5.500       -5.017069082        4587            123970         20369760000
    6.000       -5.018091418        5004            135240         20461516680
    6.500       -5.018864327        5421            146510         20553273360
    7.000       -5.019453646        5838            157780         20645030040
    7.500       -5.019906108        6255            169050         20736786720
    8.000       -5.020255520        6672            180320         20828543400
    8.500       -5.020526716        7089            191590         20920300080
    9.000       -5.020738150        7506            202860         21012056760
    9.500       -5.020903670        7923            214130         21103813440
   10.000       -5.021033746        8340            225400         21195570120
   10.500       -5.021136341        8757            236670         21287326800
   11.000       -5.021217547        9174            247940         21379083480
   11.500       -5.021282044        9591            259210         21470840160
   12.000       -5.021333444       10008            270480         21562596840
   12.500       -5.021374542       10425            281750         21654353520
   13.000       -5.021407511       10842            293020         21746110200
   13.500       -5.021434045       11259            304290         21837866880
   14.000       -5.021455468       11676            315560         21929623560
   14.500       -5.021472819       12093            326830         22021380240
   15.000       -5.021486916       12510            338100         22113136920
   15.500       -5.021498405       12927            349370         22204893600
   16.000       -5.021507795       13344            360640         22296650280
   16.500       -5.021515493       13761            371910         22388406960
   17.000       -5.021521821       14178            383180         22480163640
   17.500       -5.021527038       14595            394450         22571920320
   18.000       -5.021531349       15012            405720         22663677000
   18.500       -5.021534922       15429            416990         22755433680
   19.000       -5.021537891       15846            428260         22847190360
   19.500       -5.021540362       16263            439530         22938947040
   20.000       -5.021542425       16680            450800         23030703720
   20.500       -5.021544150       17097            462070         23122460400
   21.000       -5.021545595       17514            473340         23214217080
   21.500       -5.021546809       17931            484610         23305973760
   22.000       -5.021547831       18348            495880         23397730440
   22.500       -5.021548691       18765            507150         23489487120
   23.000       -5.021549418       19182            518420         23581243800
   23.500       -5.021550032       19599            529690         23673000480
   24.000       -5.021550552       20016            540960         23764757160
   24.500       -5.021550993       20433            552230         23856513840
   25.000       -5.021551367       20850            563500         23948270520
   25.500       -5.021551685       21267            574770         24040027200
   26.000       -5.021551956       21684            586040         24131783880
   26.500       -5.021552187       22101            597310         24223540560
   27.000       -5.021552383       22518            608580         24315297240
   27.500       -5.021552551       22935            619850         24407053920
   28.000       -5.021552694       23352            631120         24498810600
   28.500       -5.021552817       23769            642390         24590567280
   29.000       -5.021552922       24186            653660         24682323960
   29.500       -5.021553012       24603            664930         24774080640
   30.000       -5.021553089       25020            676200         24865837320
