#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.632485833           0                 0                   0
    0.100       -4.678490689         417             11270           195553200
    0.200       -4.718635496         834             22540           287309880
    0.300       -4.753596006        1251             33810           379066560
    0.400       -4.784014852        1668             45080           470823240
    0.500       -4.810483618        2085             56350           562579920
    0.600       -4.833533937        2502             67620           654336600
    0.700       -4.853635211        2919             78890           746093280
    0.800       -4.871196660        3336             90160           837849960
    0.900       -4.886571867        3753            101430           929606640
    1.000       -4.900064510        4170            112700          1021363320
    1.100       -4.911934416        4587            123970          1113120000
    1.200       -4.922403425        5004            135240          1204876680
    1.300       -4.931660782        5421            146510          1296633360
    1.400       -4.939867938        5838            157780          1388390040
    1.500       -4.947162748        6255            169050          1480146720
    1.600       -4.953663068        6672            180320          1571903400
    1.700       -4.959469831        7089            191590          1663660080
    1.800       -4.964669642        7506            202860          1755416760
    1.900       -4.969336969        7923            214130          1847173440
    2.000       -4.973535989        8340            225400          1938930120
    2.100       -4.977322141        8757            236670          2030686800
    2.200       -4.980743423        9174            247940          2122443480
    2.300       -4.983841492        9591            259210          2214200160
    2.400       -4.986652586       10008            270480          2305956840
    2.500       -4.989208306       10425            281750          2397713520
    2.600       -4.991536268       10842            293020          2489470200
    2.700       -4.993660665       11259            304290          2581226880
    2.800       -4.995602734       11676            315560          2672983560
    2.900       -4.997381163       12093            326830          2764740240
    3.000       -4.999012430       12510            338100          2856496920
    3.100       -5.000511094       12927            349370          2948253600
    3.200       -5.001890049       13344            360640          3040010280
    3.300       -5.003160732       13761            371910          3131766960
    3.400       -5.004333312       14178            383180          3223523640
    3.500       -5.005416846       14595            394450          3315280320
    3.600       -5.006419417       15012            405720          3407037000
    3.700       -5.007348253       15429            416990          3498793680
    3.800       -5.008209827       15846            428260          3590550360
    3.900       -5.009009946       16263            439530          3682307040
    4.000       -5.009753833       16680            450800          3774063720
    4.100       -5.010446187       17097            462070          3865820400
    4.200       -5.011091250       17514            473340          3957577080
