#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.686462500           0                 0                   0
    0.500       -4.853681491         337              9254         18255726000
    1.000       -4.923013277         674             18508         18310382008
    1.500       -4.957956101        1011             27762         18365038016
    2.000       -4.978908283        1348             37016         18419694024
    2.500       -4.992717415        1685             46270         18474350032
    3.000       -5.002192068        2022             55524         18529006040
    3.500       -5.008777579        2359             64778         18583662048
    4.000       -5.013360764        2696             74032         18638318056
    4.500       -5.016540954        3033             83286         18692974064
    5.000       -5.018738956        3370             92540         18747630072
    5.500       -5.020252692        3707            101794         18802286080
    6.000       -5.021292292        4044            111048         18856942088
    6.500       -5.022004890        4381            120302         18911598096
    7.000       -5.022492766        4718            129556         18966254104
    7.500       -5.022826591        5055            138810         19020910112
    8.000       -5.023054978        5392            148064         19075566120
    8.500       -5.023211261        5729            157318         19130222128
    9.000       -5.023318251        6066            166572         19184878136
    9.500       -5.023391541        6403            175826         19239534144
   10.000       -5.023441783        6740            185080         19294190152
   10.500       -5.023476254        7077            194334         19348846160
   11.000       -5.023499925        7414            203588         19403502168
   11.500       -5.023516196        7751            212842         19458158176
   12.000       -5.023527392        8088            222096         19512814184
   12.500       -5.023535104        8425            231350         19567470192
   13.000       -5.023540422        8762            240604         19622126200
   13.500       -5.023544094        9099            249858         19676782208
   14.000       -5.023546632        9436            259112         19731438216
   14.500       -5.023548390        9773            268366         19786094224
   15.000       -5.023549608       10110            277620         19840750232
   15.500       -5.023550453       10447            286874         19895406240
   16.000       -5.023551041       10784            296128         19950062248
   16.500       -5.023551451       11121            305382         20004718256
   17.000       -5.023551736       11458            314636         20059374264
   17.500       -5.023551936       11795            323890         20114030272
   18.000       -5.023552076       12132            333144         20168686280
   18.500       -5.023552174       12469            342398         20223342288
   19.000       -5.023552243       12806            351652         20277998296
   19.500       -5.023552292       13143            360906         20332654304
   20.000       -5.023552327       13480            370160         20387310312
   20.500       -5.023552351       13817            379414         20441966320
   21.000       -5.023552368       14154            388668         20496622328
   21.500       -5.023552381       14491            397922         20551278336
   22.000       -5.023552390       14828            407176         20605934344
   22.500       -5.023552396       15165            416430         20660590352
   23.000       -5.023552401       15502            425684         20715246360
   23.500       -5.023552404       15839            434938         20769902368
   24.000       -5.023552406       16176            444192         20824558376
   24.500       -5.023552408       16513            453446         20879214384
   25.000       -5.023552409       16850            462700         20933870392
   25.500       -5.023552410       17187            471954         20988526400
   26.000       -5.023552411       17524            481208         21043182408
   26.500       -5.023552411       17861            490462         21097838416
   27.000       -5.023552412       18198            499716         21152494424
   27.500       -5.023552412       18535            508970         21207150432
   28.000       -5.023552412       18872            518224         21261806440
   28.500       -5.023552412       19209            527478         21316462448
   29.000       -5.023552413       19546            536732         21371118456
   29.500       -5.023552413       19883            545986         21425774464
   30.000       -5.023552413       20220            555240         21480430472
