#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.616376820           0             45288                   0
    0.500       -4.779676622         198             55888            22564080
    1.000       -4.837239134        1353            124696           963768840
    1.500       -4.863598389        4085            294760         27419118792
    2.000       -4.877728772        8048            545956        162607650456
    2.500       -4.886094752       12950            859780        701511847080
    3.000       -4.891362827       18163           1195952        1609467892560
    3.500       -4.894827328       23401           1533448        2867679345384
    4.000       -4.897174267       28492           1860592        4258959107808
    4.500       -4.898798481       33437           2177992        5648716113664
