#   beta           E(beta)     N(params)           N(CNOT)          N(measure)
#-------------------------------------------------------------------------------
    0.000       -4.616376820           0             45288                   0
    0.500       -4.779363935         180             54776            20409120
    1.000       -4.836732045         997            102516           530923192
    1.500       -4.862925051        2433            189036          3770519488
    2.000       -4.877028134        4586            321272         19513810960
    2.500       -4.885394496        7165            480852         58824444928
    3.000       -4.890697978       10020            658428        141290034256
    3.500       -4.894204498       12919            838912        275169084728
    4.000       -4.896586436       15743           1015088        422254219680
    4.500       -4.898248020       18441           1182724        580111894744
    5.000       -4.899421402       20955           1338800        755142510784
    5.500       -4.900264671       23232           1479744        898996428760
    6.000       -4.900877269       25288           1606252        1002172848008
    6.500       -4.901325079       27158           1721384        1113216392064
    7.000       -4.901655091       28807           1821820        1195615577952
    7.500       -4.901903720       30283           1910896        1262644657416
    8.000       -4.902091053       31587           1988924        1309896087384
    8.500       -4.902233276       32761           2059712        1347928510504
    9.000       -4.902341443       33783           2121332        1369618886320
    9.500       -4.902424785       34684           2174896        1387982112104
   10.000       -4.902489043       35470           2221332        1403237079728
   10.500       -4.902538945       36162           2261880        1412859045824
   11.000       -4.902578666       36775           2297580        1420516584768
   11.500       -4.902609726       37324           2329756        1428729400776
   12.000       -4.902633775       37795           2357032        1432781256960
   12.500       -4.902653154       38212           2380884        1434725160792
   13.000       -4.902669125       38599           2402952        1436224269768
   13.500       -4.902681767       38948           2422756        1437555262480
   14.000       -4.902692119       39266           2440764        1438796824024
   14.500       -4.902700502       39564           2457512        1440143801984
   15.000       -4.902707407       39838           2472960        1440740437944
   15.500       -4.902712836       40092           2487288        1441031611944
   16.000       -4.902717171       40330           2500560        1441262122408
   16.500       -4.902721022       40564           2513440        1441460052856
   17.000       -4.902724483       40789           2525700        1441559513296
   17.500       -4.902727575       41013           2538068        1441692498064
   18.000       -4.902730160       41229           2549892        1441877080792
   18.500       -4.902732423       41439           2561488        1442013045112
   19.000       -4.902734415       41643           2572772        1442082594280
   19.500       -4.902735796       41839           2583520        1442153375144
   20.000       -4.902737053       42031           2594008        1442204231936
   20.500       -4.902738300       42222           2604444        1442248685744
   21.000       -4.902739369       42411           2614816        1442293270664
   21.500       -4.902740256       42599           2625064        1442418650888
   22.000       -4.902741065       42785           2635172        1442484613016
   22.500       -4.902741778       42969           2645144        1442546485344
   23.000       -4.902742523       43154           2655212        1442580917664
   23.500       -4.902743210       43338           2665212        1442626319632
   24.000       -4.902743802       43521           2675100        1442657499904
   24.500       -4.902744449       43705           2685172        1442702506616
   25.000       -4.902744979       43885           2694948        1442733680744
   25.500       -4.902745453       44064           2704664        1442763611144
   26.000       -4.902745807       44242           2714296        1442799708216
   26.500       -4.902746153       44420           2723940        1442828037136
   27.000       -4.902746519       44597           2733500        1442856242752
   27.500       -4.902746767       44772           2742948        1442884935440
   28.000       -4.902747164       44949           2752516        1442920523936
   28.500       -4.902747401       45124           2761944        1442946284976
   29.000       -4.902747564       45298           2771368        1442973017088
   29.500       -4.902747732       45472           2780764        1442998291056
   30.000       -4.902747896       45645           2790116        1443024534048
